r/R,Lc [m],Twist [deg],a,a',dT,dM,Re No., ,Inputs
0.06666666666666667,0.048,45.42184239336369,0.29199281538231836,0.7383498386801773,0.41244000533484737,-0.40641107364844586,220157.39608946216,TSR [-],6.02
0.1,0.08025346994018044,33.47171167334566,0.30366467106605693,0.41463958053646627,0.3504413199595097,0.27778089751163126,88283.47293170719,Radius [m],0.45
0.16666666666666669,0.0911549127857846,26.82986234525531,0.32860173461411835,0.04514784637811069,0.5532699948555394,0.3425156156695518,113501.74071716037,No. Segments [-],15
0.23333333333333334,0.10128140102403273,22.154376322147833,0.3506226536917251,-0.12886750441426836,0.7963392750137238,0.4072465955205516,140303.519166977,Airfoil [-],NACA2414
0.3,0.0987431086908159,17.906635373956274,0.36295793118360886,-0.19669666534164296,1.0499679145915677,0.44217228403699693,156455.4587767103,Cl [-],0.87
0.3666666666666667,0.09477153022555002,10.44813751485087,0.3287740368455495,0.043408621707966416,2.4182613467881167,0.6651416189358267,227353.8615586084,Cd [-],0.0132
0.43333333333333335,0.0831426152936944,8.1824707968726,0.3299747329880833,0.03149682612023096,2.8589111389391517,0.6659849815411374,230554.14857495148,AoA_opt [deg],5.8
0.5,0.07377674614704233,6.451882957037021,0.3307636638068572,0.023862861762513118,3.29320282954327,0.6629875238272214,232666.3621560586,,
0.5666666666666667,0.06616012677773923,5.091998974679233,0.33130734685102686,0.018688223396514,3.7150831458613824,0.6565905103572591,234129.89478463787,,
0.6333333333333334,0.059885630938889226,3.9978030768046895,0.3316968006180575,0.015023838475573988,4.112266703125162,0.6460636316680602,235184.55314955214,,
0.7,0.05464820545257165,3.09973318197042,0.3319847969664813,0.012336461302118237,4.460231149832591,0.629264758574026,235969.4043734323,,
0.7666666666666667,0.050221843936130335,2.3501696176776345,0.33220349250362274,0.010308328715420596,4.710244811220605,0.6018021376845871,236569.296752775,,
0.8333333333333335,0.04643833804300338,1.7155478381794884,0.3323733247654539,0.008740771699572582,4.764143510950709,0.5551318987458995,237038.261855513,,
0.9,0.04317116036195505,1.1715945151996423,0.3325077583496341,0.007504521394831732,4.4102018174877555,0.4714972460299656,237411.98216437004,,
0.9666666666666668,0.040323915731102056,0.700354802211885,0.33261594252031584,0.0065125821161069785,3.0314994063756813,0.2989028464077027,237714.76993093218,,
1,0.040323915731102056,0.700354802211885,0.33261594252031584,0.0065125821161069785,1.5157497031878353,0.14945142320385083,237714.76993093218,,
